Market,Base,1/1/25,1/8/25,1/15/25,1/22/25,1/29/25,2/5/25,2/12/25,2/19/25,2/26/25,3/5/25,3/12/25,3/19/25,3/26/25
BOSMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
MCOMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
MIAMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
MSPSRQ,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
MSPPGD,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
MSPTPA,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
ATLMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
CLTMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
IADMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
JFKMSP,MSP,51,51,51,51,51,51,51,51,51,51,51,51,51
BNAMSP,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
MSPSTL,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
IAHMSP,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
DFWMSP,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
MSPSFO,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
MSPSEA,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
MSPPDX,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
MSPSAN,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
LAXMSP,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
DENMSP,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
BZNMSP,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47
MSPSLC,MSP,47,47,47,47,47,47,47,47,47,47,47,47,47